promise|诺言, 约定的事情, 有指望
promising|有希望的, 前途有望的
promote|促进, 晋升, 创办, 推销
prompt|激励, 提示, 提醒物, 提词, 付…
prone|俯伏的, 面向下的, 有...倾向的
pronoun|代词
proof|证据, 证明, 试验, 检验, 考验
propaganda|宣传, 宣传活动
propagate|繁殖, 传播, 传送
propel|推进, 驱使
property|财产, 所有权, 性质, 属性
prophet|预言者, 先知, 提倡者
proportion|比例, 比率, 均衡, 部分, 面积
proposal|提议, 计划, 求婚
propose|计划, 打算, 建议, 提议, 求(婚)
proposition|建议, 命题, 主张
prose|散文
prosecute|告发, 起诉, 彻底进行, 执行, 从事
prospect|景色, 展望
prospective|预期的, 将来的
prosper|繁荣, 兴隆, 成功
prosperity|繁荣, 茂盛, 成功
prosperous|成功的, 繁盛的, 幸运的
protein|蛋白质
protest|抗议, 反对, 抗议书, 断言
protocol|草案, 礼仪, 协议
prototype|原型
provided|倘若, 以...为条件
provision|(政府提供的)钱和设备, 准备, 供…
provoke|激怒, 惹起, 诱导
proximate|最近的, 将临的, 近似的
prudent|审慎的, 三思而后行的, 精明的, …
psychiatry|精神病学, 精神病治疗
psychology|心理学, 心理状态
publication|出版物, 出版, 公布
publicity|名声, 宣传, 公开场合
publish|出版, 发行, 公开, 发表, 宣传…
puff|一阵喷烟, 肿块, 喘息
pull|拉, 拖, 拔, 牵, 撕开, 吸引
pulse|脉冲, 脉搏, 情绪, 意向, 拍子…
punch|打洞器, 钻孔机, 冲压机, 冲床,…
puppet|傀儡, 木偶
purchase|购买, 购买品, 紧握, 绞辘
purify|变纯净
purpose|目的, 意向, 决心, 用途, 效果…
pursue|追赶, 追踪, 追随, 追求, 实行…
pursuit|追踪, 追求, 追赶, 娱乐, 职业
push|推, 推动, 奋斗, 攻击, 进取心
puzzle|难题, 迷惑
pyramid|角锥, 金字塔
qualification|资格, 条件, 限制
qualify|取得资格, 有资格
qualitative|性质的, 质的, 定性的
quantify|定量, 用数量表示, 测量
quantitative|数量的, 定量的
quarantine|隔离, 封锁交通, 检疫期
quart|夸脱
queer|怪人, 同性恋者
query|疑问, 疑问号, 质问, 查询
quest|探索, 寻求, 调查
questionnaire|调查表, 问卷
quick|快的, 迅速的, 敏捷的, 灵敏的,…
quilt|棉被
quiver|震动, 颤抖, 箭袋
quota|配额, 限额
quote|引用
race|种族, 人种, 赛跑, 比赛, 急流…
rack|架, 行李架, 饲草架, 搁物架, …
racket|球拍, 喧闹, 杂乱无章
radar|雷达, 无线电探测器
radiant|发光的, 明亮的, 辐射的, 容光焕发的
radiate|放射, 散发, 辐射, 传播, 广播
radical|激进分子, 词根, 基础, 根式, 根
radioactive|放射性的, 有放射能的
radius|半径, 范围, 辐射光线
rage|愤怒, 情绪激动, 狂暴
raid|袭击, 突袭, 搜捕
rainbow|彩虹
rake|耙子, 钱耙, 斜度, 浪子
rally|重振旗鼓, 集合, 群众集会, 跌停回升
random|随意, 随机
rape|抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
rare|稀罕的, 罕有的, 珍奇的, 稀薄的…
rarely|很少地, 罕有地
rash|轻率的, 匆忙的, 鲁莽的
ratio|比, 比率
rational|理性的, 合理的
razor|剃刀
reach|伸出, 延伸, 区域, 范围, 流域…
reader|读者, 读物, 文选, 校对人, 讲师
readily|迅速地, 轻易地, 乐意地
reading|阅读, 知识, 读物
realise|实现, 认识到, 体会到, 了解, …
realistic|现实的, 逼真的, 现实主义的, 实…
really|实际上, 真实地, 实在
realm|王国, 领土, 领域
reap|收割, 收获, 获得
rear|后面, 背后, 后方
reasonable|合理的, 明理的, 适当的
reassure|使...安心, 向...再保证
rebel|叛徒, 反叛者
rebellion|谋反, 叛乱, 反抗
recall|回忆, 召回, 撤消
recede|向后退, 退却, 收回, 降低, 减弱
recession|后退, 凹处, 衰退, 归还
recipe|食谱, 处方, 秘诀
recipient|领受的, 容易接受的, 感受性强的
reciprocal|互惠的, 相互的, 相等的, 倒数的…
reckless|不介意的, 大意的, 鲁莽的, 不顾…
reckon|计算, 总计, 估计, 认为, 猜想
reclaim|开垦, 改造, 感化, 纠正, 回收
recognise|认识, 辩认, 认出, 承认, 认可…
recognition|赞誉, 认得, 识别, 承认, 认可…
recollect|回忆, 回想, 忆起
recommend|推荐, 介绍, 劝告, 使受欢迎, 托付
reconcile|使和解, 调停, 使和谐, 使一致,…
recovery|恢复, 复原, 痊愈, 重获
recreation|娱乐, 消遣, 休息, 再创造
recruit|新兵, 新手, 新会员, 补给品
rectangle|长方形, 矩形
rectify|订正, 矫正, 改正, 调正, 校正…
recur|复发, 回到, 重现, 再来, 诉诸…
redeem|赎回, 挽回, 恢复, 偿还, 补偿
reduce|减少, 分解, 降低, 使衰退, 把…
reduction|减少, 缩影, 变化
redundant|多余的, 过多的, 冗长的
reed|芦苇, 芦笛, 簧舌, 纤弱的人
reel|卷轴, 一卷, 纺车, 旋转, 蹒跚
reference|参考, 索引, 参照
refine|精炼, 净化, 使优雅, 使精炼
reflection|反映, 沉思, 映像, 想法, 责难
refrain|重复的话, 叠句, 副歌
refuge|避难所, 安全地带, 避难, 庇护
refugee|难民, 流亡者
refund|偿还
refusal|拒绝, 推却, 优先决定权
refuse|拒绝, 谢绝
refute|反驳, 驳斥
regarding|关于
regardless|不管, 不注意, 不顾
regime|政权, 当权期间, 政体, 社会制度…
region|区域, 地带, 地区, 领域, 范围…
register|寄存器, 记录, 登记簿, 注册
regulate|管理, 控制, 调节, 调整, 校准
regulation|规则, 管理, 调整
rehearse|预演, 排演, 使熟练掌握, 练习,…
reign|为王，为君
rein|缰绳, 统治, 支配
reinforce|加强, 增援, 补充
rejoice|使欢喜
relativity|有关系, 相关性, 相对性
relay|驿马, 替班, 中继, 接力
release|释放, 发泄, 豁免, 发行, 释放证书
relevant|有关联的, 有关系的, 适当的, 相应的
reliance|信任, 信赖, 受信赖的人(或事)
relief|减轻, 解除, 救济, 安慰, 调剂…
relieve|减轻, 救济, 解除, 使免除, 换…
religious|宗教性的, 虔诚的, 宗教上的, 严谨的
relish|滋味, 风味, 美味, 爱好, 食欲…
reluctant|不情愿的, 勉强的
remainder|剩余物, 其他人, 残余, 余数
remains|剩余物, 废墟, 残余
remark|评论, 注意
remarkable|不平常的, 值得注意的, 显著的
remedy|药物, 治疗法, 治疗, 补救, 赔偿
remember|记得, 回忆起, 记住, 铭记, 纪念
remnant|剩余, 零料, 遗迹
remote|遥远的, 偏僻的, 疏远的, 微少的
removal|移动, 移居, 迁移, 排除, 切除
renaissance|复活, 复兴, 文艺复兴
render|回报, 给于, 付给, 汇报, 提出…
renew|使更新, 使恢复, 复兴, 修补, …
renovate|更新, 革新, 刷新, 修复, 使恢…
rent|租金, 房租, 出租物, 裂缝, 破…
repay|偿还, 报答, 报复
repeatedly|重复地, 再三地
repel|逐退, 抵制, 使厌恶, 抗御
repertoire|全部剧目, 全部技能, 全部节目, …
repetition|重复, 背诵, 循环, 复制品, 副本
represent|表现, 表示, 描绘, 讲述, 代表…
representative|代表, 众议员, 典型
repression|抑制, 压抑, 制止
reproach|责备, 耻辱
reproduce|繁殖, 再生, 复制, 生殖
reptile|爬行动物, 爬虫, 卑鄙的人
republican|共和主义者, 共和党员
requirement|需求, 必要条件, 要求
rescue|援救, 解救, 营救
resemblance|相似处, 类似, 肖像
resemble|相似, 类似
resent|愤恨, 憎恶, 怨恨
reservation|保留, 预定, 保留品, 保留地
reservoir|贮水池, 贮藏处, 贮备, 水库
residence|住宅, 居留, 驻扎, 居住期间
resident|居民, 常驻程序, 居住者, 留鸟
resign|辞职, 放弃, 使顺从
resilient|弹回的, 有弹力的
resistance|抵抗力, 反抗, 耐力, 阻力, 电阻
resistant|抵抗者, 反抗者
resolute|果断的人
resolution|解析, 决心, 坚定, 决定, 决议…
resolve|决定, 分解, 决心
resort|度假胜地, 手段, 凭借, 常去之地
respective|分别的, 各自的
respond|以...回答
response|反应, 回答, 响应
responsibility|责任, 职责, 负担, 可靠性
restless|不安静的, 慌张的, 休息不充分的
restore|回复, 恢复, 归还, 修补, 修复
restrain|抑制, 阻止, 束缚
restraint|抑制, 克制, 束缚
restrict|限制, 限定, 约束
resultant|结果的, 合成的
resume|重新开始, 取回, 恢复
retail|零售
retain|保持, 保有, 留住, 记得, 付定…
retention|保持, 留置, 保留, 保持力, 保…
retort|反驳, 顶嘴, 蒸馏器, 曲颈甑
retreat|休息寓所, 撤退, 隐居, 退避
retrieve|取回, 挽回, 弥补, 恢复, 补偿…
retrospect|回顾, 追忆, 回溯
return|回来, 返回, 来回票, 归还, 报…
reveal|露出, 显示, 透露, 揭露, 泄露…
revelation|揭露, 泄露, 发觉, 默示, 启示
revenge|报仇, 复仇, 报复
revenue|收入, 岁入, 税收, 税务局
reverse|相反, 背面, 倒退, 挫折, 失败
revise|校订, 修正, 改样
revive|使苏醒, 使复兴, 使振奋, 回想起…
revolt|叛乱, 反抗, 反感
revolutionary|革命者, 革命党人
revolve|(使)旋转, 反复考虑, 循环出现
reward|报酬, 酬谢, 赏金
rhetoric|修辞, 修辞学, 雄辩(术)
rhythm|旋律, 节奏, 韵律, 匀称, 张弛节律
ribbon|缎带, 色带, 带状物
ride|骑马, 乘坐, 乘车, 搭便车
ridge|脊, 山脊, 山脉
ridiculous|荒谬的, 可笑的
rifle|来复枪, 步枪
