owing to|由于..., 因为...
owner|拥有者, 物主, 所有人
oxide|氧化物
oxygen|氧
ozone|新鲜的空气, 臭氧, 使人愉快的影响
package|包裹, 套装软件, 包, 包装用物,…
pact|契约, 协定, 条约
paddle|桨, 划桨, 明轮翼
page|页, 记录, 事件, 专栏, 男侍
painful|痛苦的, 困难的, 令人烦恼的
pair|一双, 一对, 一副
palm|手掌, 棕榈, 胜利
pamphlet|小册子, 活页文选
panel|嵌板, 仪表板, 专题讨论小组, 全…
panic|恐慌, 惊慌
panorama|全景, 全貌, 概论, 范围
pant|喘息, 悸动
pants|裤子, 长裤, 短衬裤, 女式运动短裤
paperback|平装本, 纸面本
parachute|降落伞
parade|游行, 炫耀, 阅兵
paradigm|范例, 式样, 词形变化表, 纵聚合…
paradise|天堂, 乐园, 伊甸园
paradox|似非而是的论点, 自相矛盾的话, 悖…
parallel|平行, 对比, 相匹敌之物
paralyse|使麻痹, 使瘫痪, 使无力, 使气馁…
parameter|参变数, 参变量, 参数, 参量
parasite|寄生生物, 寄生虫, 食客
parliament|国会, 议会
partial|部分的, 偏袒的, 偏爱的
participant|参加者, 参与者
participate|参加, 分享, 参与, 带有
particle|颗粒, 粒子, 质点, 极小量
partner|合伙人, 股东, 伙伴, 伴侣
party|宴会, 党, 政党, 团体, 当事人…
passage|通道, 通过, 移居, 航行, 一段…
passion|激情, 酷爱, 热爱, 强烈感情, …
paste|面团, 面食, 浆糊, 糊状物, 粘…
pastime|消遣, 娱乐, 游戏
pasture|牧场, 草地, 牧草
patch|片, 补缀, 碎片, 斑, 傻瓜
patent|专利权, 许可证, 执照, 专利品,…
pathetic|悲哀的, 可怜的, 感伤的, 差劲的
patriotic|爱国的, 有爱国心的
patrol|巡逻, 巡逻员, 侦察队
patron|赞助人, 顾客, 保护人
pave|铺设, 安排, 铺满, 为...铺路
pavement|路面, 人行道, 铺面路, 铺路材料
payment|付款, 支付的款项(或实物), 偿还…
peaceful|平静的, 和平的, 和平时期的, 爱…
peanut|花生, 小人物, 极小的数额
pearl|珍珠, 珠灰色, 杰出者, 珍贵之物
pebble|小圆石, 小鹅卵石, 水晶透镜, 碎…
peculiar|奇特的, 罕见的, 特殊的, 特别的
pedal|踏板, 脚蹬子
pedestrian|行人, 步行者
peel|皮, 外壳
peep|一瞥, 偷看, 不完全的景象, 初现…
peer|同等的人, 匹敌, 贵族
penalty|处罚, 刑罚, 罚款, 罚球, 报应…
pencil|铅笔, 色笔, 眉笔, 画笔, 光线束
pendulum|钟摆, 摇锤, 摇摆不定的事态(或局面)
penetrate|穿透, 刺穿, 渗透, 看穿, 洞察…
peninsula|半岛, 突出的地方, 伊比利亚半岛
pension|养老金, 退休金, 津贴, 年金, …
pepper|胡椒粉, 胡椒, 辣椒
perceive|感觉, 认知, 理解, 意识到
percentage|百分比, 比率, 部分, 可能性
perfect|完成时
perhaps|也许, 大概
periodical|期刊
perish|毁灭, 丧生, 凋谢, 颓丧, 死亡…
permanent|永久的, 不变的, 固定的, 持久的
permeate|弥漫, 渗透, 充满, 影响, 感染
permission|许可, 允许
perpetual|永久的, 不断的, 无期限的, 没完…
perplex|使困惑, 使复杂化, 使为难
persecute|迫害, 虐待, 困扰, 同...捣乱
persevere|坚持, 孜孜不倦, 不屈不挠, (辩…
persist|坚持, 固执, 持续, 坚称
personality|个性, 人格, (团体、地方、国家)…
personnel|人员, 人事部门, 人事科(处)
perspective|远景, 透视感, (观察问题的)视角…
persuade|劝, 使相信, 恳求, 敦促, 说服
persuasion|说服, 信念, 派别, 说服力
pessimistic|悲观的, 厌世的, 悲观主义的
pest|令人讨厌之物, 有害之物, 害虫, 瘟疫
petition|请愿, 诉状, 陈情书, 申请, 祈…
petroleum|石油
petty|琐碎的, 小规模的, 小气的, 委琐的
pharmacy|药房, 配药学, 制药业
phase|时期, 局面, 方面, 位相, 相,…
phenomenon|现象, 迹象, 表现, 奇迹, 奇才
philosopher|哲学家, 哲人, 思想开创人, 达观的人
philosophy|哲学, 人生观, 哲学思想, 哲理,…
phrase|惯用语, 词组, 成语, 措词, 乐句
physical|身体的, 物质的, 自然的, 物理学…
physiology|生理学, 生理机能
piano|钢琴
pickup|拾起, 加速, 刺激, 猎物的收集,…
picture|图画, 照片, 景色, 美丽如画的人…
piece|块, 片, 篇, 碎片, 部分, 部…
pierce|刺穿, 穿透, 打眼于, 洞悉, (…
pigeon|鸽子, 易上当受骗的人, 年轻女子
pilgrim|旅行者, 朝圣者, 香客
pillar|柱子, 栋梁, 台柱, 重要的支持者
pinch|捏, 拧, 撮, 少量, 收缩, 挤…
pioneer|先锋, 拓荒者, 创始人
pirate|海盗, 盗印者, 侵犯专利权者
pistol|手枪, 信号枪
pitch|程度, 坡度, 顶点, 前倾, 倾斜…
pity|遗憾, 同情, 怜悯, 憾事, 可惜
plagiarism|剽窃, 抄袭, 剽窃物
plague|瘟疫, 天罚, 麻烦, 灾祸
plain|平原, 草原, 朴实无华的东西, 无格式
plaintiff|原告, 起诉人
planet|行星, 命运星辰, 杰出的人, 重大…
plant|植物, 作物, 工厂, 树枝, 生长…
plantation|种植园, 大农场, 植树造林, 新开垦地
plaster|石膏, 灰泥, 安慰(缓解)用品, 膏药
plastic|塑料, 可塑体, 可塑性物质
plateau|高地, 高原, (上升后的)稳定水平
plausible|貌似真实的, 貌似合理的, 说得煞有…
playground|运动场, 操场, 度假胜地, 活动场所
plea|恳求, 辩解, 抗辩, 诉讼, 请愿…
plead|辩护, 恳求
please|请
pleasure|快乐, 愉快, 令人高兴的事, 娱乐…
pledge|诺言, 保证, 誓言, 抵押, 信物…
plentiful|许多的, 丰富的, 丰饶的
plight|困境, 窘境
plot|小块土地, 地区图, 图, 阴谋, 情节
plug|塞子, 栓, 插头
plumber|水管工人
plunge|钻进, 跳进, 跳水, 跳水池, 猛…
plural|复数
plus|加上, 加, 外加
pneumonia|肺炎
poetry|诗, 韵文, 诗歌艺术
