abandon|抛弃，遗弃
abdomen|腹部
abide|停留, 遵守, 居留, 继续下去
ability|能力, 才干
abnormal|反常的, 不规则的, 变态的, 畸形的
aboard|在船上, 在火车上, 在飞机上
abolish|废止, 革除, 消灭
abound|大量存在, 富于, 充满
abroad|往国外, 到室外, 到处
abrupt|突然的, 唐突的, 陡峭的, 不连贯的
absence|缺席, 缺乏, 没有
absent|缺席的, 不在的, 缺乏的, 漫不经心的
absolute|绝对的, 专制的, 完全的, 独立的
absorb|吸收
abstract|抽象的
absurd|荒谬的, 不合理的, 可笑的
abundant|丰富的, 充分的, 大量的
abuse|滥用, 虐待, 恶习, 辱骂
academic|学院的, 学术的, 不切实际的
academy|学院, 院校, 学会
accelerate|加速, 促进
accent|重音, 口音, 特点, 注重点
accept|接受, 承认, 同意, 相信, 赞成…
acceptance|接受, 接纳, 承认, 同意, 赞同…
access|通路, 入口, 接近, 进入, 使用…
accessory|附件, 零件, 附加物, 从犯, 同谋
accident|意外事件, 机遇, 事故, 次要方面
acclaim|喝彩, 欢呼, 赞同
accommodate|使适应, 调和, 通融, 容纳, 向…
accommodation|膳宿, 预订铺位, 适应性调节, 调…
accompany|陪伴, 伴随, 补充, 为...伴奏
accomplish|完成，实现，达到
accord|一致, 调和, 协定
accordance|一致, 和谐
according to|根据, 按照
accordingly|相应地, 因此, 于是
account|报告, 解释, 估价, 理由, 利润…
accountant|会计人员, 会计师
accumulate|积聚, 堆积
accuracy|精确, 正确
accurate|精确的，准确的
accuse|指责, 控告, 归咎于
accustom|使习惯于
ache|疼痛
achieve|完成, 达到
acid|酸, 酸类物质, 尖刻, 迷幻药
acknowledge|承认
acquaint|使认识, 介绍
acquaintance|认识, 相识者
acquire|获得，取得
acquisition|获得, 获得物
acre|英亩
action|行动, 活动, 动作, 作用, 战斗…
activate|使活动, 使激活, 正式建成
active|活跃的, 起作用的, 积极的, 有效…
activity|活动, 行动, 活跃, 活力
actor|男演员, 行动者
actual|真实的, 实际的, 现行的
acute|尖锐的, 敏锐的, 激烈的, 严重的…
adapt|适应
addict|使沉溺, 使上瘾
addition|加法, 增加的人(或物)
additional|附加的, 另外的, 额外的
address|住址, 演说, 举止, 灵巧, 求爱
adequate|足够的
adhere|依附, 粘着, 坚持, 追随, 拥护
adjacent|毗连的, 邻近的, 连接的
adjective|形容词
adjust|调整, 使适应于, 校准
administer|管理, 料理, 执行
administration|行政, 管理, 政府机关
admire|赞美, 钦佩, 爱慕
admission|准许进入, 入场费, 录用, 承认
admit|承认, 接受, 允许进入, 容许
adolescent|青春期的, 青少年的
adopt|采用, 正式通过, 收养, 接受
adore|崇拜, 爱慕, 喜爱
adult|成人, 成虫
advance|前进, 进展, 行过的路程
advanced|在前的, 高级的, 先进的, 年老的
advantage|优点, 便利, 好处, 优势
advent|来到, 来临
adventure|冒险, 冒险经历
adverb|副词
adverse|不利的, 敌对的, 相反的, 逆的
advertise|做广告, 通知, 公布
advice|忠告, 劝告, 意见, 报道, 通知
advisable|适当的, 明智的
advise|劝告, 给...出主意, 通知, 建议
advocate|提倡，主张
aerial|空中的, 航空的, 空气的, 空想的
aeroplane|飞机
affair|事件, 事务, 恋爱事件
affect|影响
affection|影响, 病, 喜爱, 情感, 倾向
affiliate|使紧密联系, 使附属, 接纳, 收养
affirm|断言, 确认
affluent|丰富的, 富裕的
afford|买得起, 足以, 给予
afraid|害怕的, 恐怕的, 遗憾的
aftermath|结果, 后果
afterward|然后, 后来
again|再一次, 又, 到原处
agency|代理机构, 经销商, 中介
agenda|议程, 日常工作事项
agent|代理商, 政府代表, 动原, 媒介
aggravate|加重，使恶化
aggregate|总计，合计
aggressive|侵略的, 挑畔的, 进取的
agitate|使摇动, 搅动, 使激动, 使不安
agony|极大的痛苦, 挣扎
agree|同意, 赞成, 应允, 适合
agreeable|令人愉快的, 同意的
agriculture|农业
ahead|领先的, 预先的, 向前的
air conditioning|用空调设备调节空气, 空调设备
aircraft|航空器, 飞机
airline|航线, 航线的设备, 航空公司
airport|飞机场
aisle|走廊, 侧廊, 过道
alarm|惊恐, 警报, 警钟
albeit|尽管, 虽然
album|粘贴簿, 唱片套
alcohol|酒精, 酒
alert|警觉的, 灵敏的, 留心的
algorithm|算法
alien|外国人, 外侨
alienate|使疏远, 离间, 转让
align|排列, 排成一行, 结盟
allege|宣称, 主张, 提出, 断言
allegiance|忠贞, 效忠
alleviate|减轻, 使缓和
alliance|联盟, 联合
allocate|分配，配给
allow|允许, 同意给予, 承认
allowance|津贴, 零用钱, 限额, 折扣, 允许
alloy|合金
ally|同盟者, 同盟国, 助手
alone|孤独的, 单独的, 独自的
alongside|在旁边, 靠拢着
alphabet|字母
alter|改变
alternate|交替的, 轮流的, 间隔的
alternative|两者择一, 供替代的选择
altitude|高度, 海拔, 高处
aluminum|铝
always|总是, 始终
amateur|业余爱好者, 外行, 爱好者
amaze|使吃惊
ambassador|大使
ambiguous|模棱两可的，含糊不清的，有歧义的
ambition|野心, 志向
ambitious|有抱负的，雄心勃勃的
ambulance|救护车
amend|修改, 改善, 改良
amiable|亲切的, 和蔼可亲的
amid|在其间, 在其中
amount|总数, 总额
ample|大量的, 充足的, 丰富的
amplify|增强, 放大, 扩大, 详述
amuse|消遣, 娱乐, 使发笑
analog|模拟
analogy|类比，类推
analyse|分析, 细察, 分解
analysis|分析
analytic|分析的, 善于分析的, 解析的
ancestor|祖先, 祖宗
anchor|锚
ancient|古代的, 古老的, 年老的, 旧的
anecdote|轶事, 奇闻
angel|天使, 守护神, 善人
anger|忿怒
angle|角, 角度, 角落
anguish|剧痛, 痛苦
animal|动物
ankle|踝
anniversary|周年纪念
announce|宣布, 声称, 显示, 预告
annoy|使恼怒, 骚扰
annual|年刊, 年报
anonymous|姓氏不详的, 无名的, 无特色的
antenna|天线, 触须, 触角
anticipate|预期，预料
antique|古董, 古物
anxiety|焦虑, 忧虑, 令人焦虑的事
anxious|忧虑的, 发愁的, 渴望的
