finding|发现, 发现物, 决定, 裁决
finish|完成, 结束, 末道漆, 磨光, 完美
finite|有限的, 有穷的, 限定的
fireman|救火队员, 消防队员
fireplace|壁炉
fiscal|财政的, 国库的
fisherman|渔夫, 钓鱼者, 渔船
fixture|固定(状态), 固定物, 设备
flap|飘, 摆动, 拍打, 拍打声, 片状…
flare|闪光, 闪耀
flatter|奉承, 阿谀, 使高兴
flavor|滋味, 调味品
flaw|缺点, 裂纹, 瑕疵, 一阵狂风
flee|逃避, 逃跑, 逃走
fleet|舰队, 港湾, 小河
flexible|易曲的, 灵活的, 柔顺的, 能变形…
fling|投掷, 急冲, 嘲弄
flock|兽群, 鸟群, 一群人, 大量, 棉束
flourish|繁荣, 茂盛, 活跃, 手舞足蹈
fluctuate|变动, 起伏, 动摇
fluent|流利的, 流畅的
fluid|液体, 分泌液, 流体
flush|流溢, 面红, 旺盛, 发烧, 惊飞…
foam|泡沫, 水沫, 泡沫材料
focus|焦点, 焦距
folk|人们, 家人, 亲属, 民族
follow|跟随, 沿行, 遵循, 追求
following|下列各项, 部下, 追随者
football|足球, 橄榄球
footstep|脚步, 脚步声, 足迹
force|力量, 武力, 势力, 影响力, 军…
fore|在前的, 以前的
forecast|预想, 预测, 预报
forehead|额, 前额, 前部
foreign|外国的, 外交的, 外省的, 外来的…
foreigner|外国人, 外地人
foremost|最初的, 最重要的
foresee|预见, 预知
forest|森林, 林区
forge|熔炉, 铁工厂
forget|忘记, 忽略, 忘
formal|正式的, 形式的, 礼仪的, 拘于礼…
format|开本, 版式, 形式, 格式
formation|形成, 构造, 编队
former|从前的, 前者的
formidable|巨大的, 优秀的, 可怕的, 艰难的
formula|客套语, 公式, 准则
formulate|用公式表示, 明确叙述, 制订
forth|往前, 以后, 向外
forthcoming|即将来临的
fortunate|幸运的, 幸福的
fortune|财富, 运气, 兴隆, 大量财产, …
forum|论坛, 公开讨论的广场, 法庭, 讨论会
forward|向前的, 早的, 迅速的, 在前的,…
fossil|化石, 古物
foster|收养的, 养育的
foul|污秽的, 邪恶的, 恶臭的, 肮脏的…
foundation|基础, 根据, 建立
fraction|小部分, 破片, 分数
fracture|破碎, 骨折
fragile|易碎的, 脆的
fragment|碎片, 破片, 片段
fragrant|芬香的, 馥郁的, 愉快的
frame|框, 结构, 体格
framework|结构, 骨架, 参照标准, 准则, 观点
franchise|公民权, 特权, 特许经营权, 免赔额
frank|坦白的, 率直的, 老实的
fraud|欺骗, 欺诈, 诡计, 骗子
freedom|自由, 坦率, 特权
freelance|自由作家, 自由投稿, 自由职业者
freeze|冻结, 冷冻, 僵硬, 楞住
freight|船货, 运费, 货运
frequency|频率, 频数
fresh|新鲜的, 新奇的, 另外的, 淡的,…
friction|摩擦, 摩擦治疗, 不和
friendly|友好的, 亲切的, 互助的
friendship|友谊, 友爱, 友善
fright|惊骇, 吃惊
fringe|边缘, 端, 流苏, 穗, 初步
frog|青蛙
frontier|边界, 边境
frost|霜, 冰冻, 冷漠
frown|皱眉
fruitful|结果实的, 多实的, 产量多的
frustrate|挫败, 击败, 破坏
fulfil|实践, 履行, 实行, 完成, 结束…
fume|臭气, 烟, 激怒
function|官能, 职务, 功能, 函数
fund|基金, 资金, 存款, 财源, 贮藏
fundamental|基本原理, 原则, 基波
funeral|葬礼, 出殡
funny|好笑的, 有趣的, 滑稽的
furious|狂怒的, 激烈的, 吵闹的
furnace|火炉, 熔炉, 考验
furnish|供给, 提供, 装设
further|更远的, 此外的, 更多的
fuse|保险丝, 导火线
fuss|大惊小怪, 小题大作, 忙乱
futile|无用的, 琐细的, 不重要的
gadget|小配件, 小玩意, 诡计
gain|增益, 获得, 利润, 收获, 增加
galaxy|银河, 星系, 一群(显赫的人物)
gallery|走廊, 最高楼座, 画廊, 收集, 图库
gallon|加仑
gamble|赌博, 冒险
game|比赛, 玩耍, 比分, 得胜, 比赛…
gang|队, 群, 帮
gaol|监禁, 监狱
garlic|大蒜
garment|衣服, 衣装, 外表
gasp|喘气
gauge|标准度量, 计量器
gaze|注视, 凝视
gear|齿轮, 工具
gender|性
gene|基因
generalise|vi. (使)一般化, 从...引出…
generate|产生, 发生, 导致
generator|产生器, 发电机, 生产者
generous|慷慨的, 有雅量的, 大量的, 丰富的
genetic|创始的, 遗传的, 起源的, 遗传学的
genius|天才, 天赋, 精神, 神魔
genre|类型, 流派
gently|温和地, 温柔地, 轻轻地, 逐渐地
genuine|真正的, 真实的, 诚恳的
geography|地理学, 地理
geology|地质学, 地质情况
geometry|几何学
germ|细菌, 种子, 生殖细胞, 根源
gesture|手势, 姿态
ghost|鬼, 灵魂, 幻影, 一丝, 一点
giant|巨人, 大力士, 巨大怪物
gigantic|巨人般的, 巨大的
giggle|吃吃地笑, 咯咯地笑
glacier|冰川
glad|高兴的, 喜欢的, 情愿的
glamor|魅力, 迷人的美, 魔法
glare|闪耀光, 刺眼
glass|玻璃, 玻璃杯, 透镜
glide|滑动, 滑过, 流水
glimpse|一瞥, 一闪
glitter|灿烂, 闪烁, 辉耀
global|通用的, 全球的, 球形的, 综合的…
gloomy|抑沉的, 忧闷的, 黑暗的, 悲观的
glorious|光荣的
glow|赤热, 光辉, 热情, 热烈, 红光
glue|胶, 粘性物
goal|目标, 终点, 得分, 球门, 守门员
golden|金的, 含金的, 金色的, 贵重的,…
golf|高尔夫球
goodbye|再见
goodness|仁慈, 善良
gorgeous|华丽的, 灿烂的
gossip|闲聊, 随笔, 流言, 爱讲闲话的人
government|政府, 内阁
governor|(美)州长, (英)总督, 统治者,…
gown|睡衣, 法衣, 大学全体师生
grab|抓握, 掠夺, 强占, 东方沿岸帆船
grace|优雅, 风度, 慈悲, 恩惠, 体面…
graceful|优美的
gracious|亲切的, 慈善的
grade|等级, 年级, 阶段, 成绩, 程度…
gram|克, 绿豆, 鹰嘴豆
grammar|语法学, 入门书
grand|庄重的, 壮观的, 显赫的, 重大的…
grandmother|祖母, 女祖先
grant|授予, 授予物, 允许
grape|葡萄, 葡萄树
graph|曲线图, 图表, 图形
graphic|生动的, 轮廓分明的, 绘画似的, …
gratitude|感激之情
grave|墓穴, 坟墓, 终结, 死亡
gravity|地心引力, 重力
graze|吃草, 放牧, 擦伤, 轻擦
grease|脂肪, 兽脂, 油脂, 贿赂
great|大的, 非常的, 主要的, 重大的,…
greedy|贪婪的, 贪得的, 贪吃的
greenhouse|温室
greet|问候, 致敬, 欢迎, 映入眼帘
greeting|祝贺, 问候
