embassy|大使馆, 大使馆全体人员
embed|使插入, 使嵌入, 使深留脑中
embody|具体表达, 使具体化
embrace|拥抱
embryo|胚胎, 胎儿, 胚芽
emerge|浮现, 形成, 出现, (事实)显露
emergency|紧急状况, 紧急事件, 紧急需要
emigrate|(使)移居, (使)移民
eminent|显赫的, 杰出的, 有名的
emit|发出, 放射, 发表(意见等), 散…
emotion|情绪, 激动, 强烈的情感
empathy|移情作用, 共鸣
emperor|皇帝, 君主
emphasis|强调, 加强, 重点, 强语气
emphasise|强调, 重读, 加强...的语气, 着重
empire|帝国, 帝权
empirical|完全跟据经验的, 经验主义的
employ|雇用
employee|职员, 员工, 受雇人员
employer|雇主, 老板
employment|雇用, 职业, 工作
enable|使能够
enclose|围绕, 圈起, 放入封套, 附上
enclosure|附件, 围墙, 围绕
encounter|相会, 相遇, 遭遇
encyclopedia|百科全书
endeavor|努力, 尽力
ending|终止, 终了, 收场
endorse|支持, 赞同, 背书于, 签署
endow|捐赠, 捐助, 赋予
endurance|忍耐, 忍耐力, 耐性
endure|忍受, 忍耐, 容忍, 耐
enemy|敌人, 仇敌, 敌军
energetic|精力充沛的, 积极的
enforce|强迫, 执行, 坚持
engage|答应, 从事, 交战
engagement|诺言, 约会, 婚约, 交战
engine|引擎, 发动机, 机车
engineering|工程学, 工程, 操纵
enhance|提高, 加强, 增加
enjoy|享受, 喜欢, 欣赏
enlarge|扩大, 增大
enlighten|教育, 启发, 启蒙, 开导, 教导
enormous|巨大的, 庞大的
enough|充足, 够, 很多
enquire|询问
enquiry|询问
enrich|使富足, 使肥沃
enrol|登记, 使加入
ensure|确定, 保证, 担保, 保护
entail|使成为必需, 需要, 使承担, 遗传给
enter|进入, 参加, 开始, 输入, 回车
enterprise|企业, 事业心, 进取心, 干事业
entertain|娱乐, 招待, 怀抱
entertainment|娱乐, 款待, 娱乐表演
enthusiasm|巨大的热情, 热心
enthusiastic|狂热的, 热心的, 热烈的
entitle|给...权利, 取名为, 给予名称,…
entity|实体, 实存物, 存在
entrepreneur|企业家, 主办人
entry|登录, 条目, 进入, 入口, 报关
environment|环境, 外界, 围绕
envisage|面对, 正视, 想象
envy|羡慕, 嫉妒
epic|史诗, 叙事诗
epidemic|传染病, 流行病
episode|插曲, 插话, 有趣的事件, 一段情节
epoch|新纪元, 时代, 时期
equal|对手, 匹敌, 同辈
equality|平等, 均匀, 相等
equation|相等, 等式, 平衡
equator|赤道
equip|装备, 配备
equity|公平, 公正
equivalent|同等物, 等价物, 相等物
eradicate|根除, 扑灭, 根绝, 消灭
erase|抹去, 擦掉
erect|直立的, 竖立的, 笔直的
erode|腐蚀, 侵蚀
erosion|腐蚀, 冲蚀, 侵蚀
erroneous|错误的, 不正确的
