merge|使合并, 使消失, 吞没
merit|优点, 功绩, 价值, 功过, 真相
mess|食堂, 伙食, 用膳, 一份食品, …
messenger|报信者, 使者
metaphor|隐喻
metre|公尺, 格律, 韵律
metric|公尺的, 公制的, 计量的
metropolitan|大都市居民, 都主教, 宗主国的公民
microphone|扩音器, 麦克风
midst|中间
migrate|移动, 移往, 随季节而移居
mile|英里, 很大距离
militant|好战的
military|军队
mill|压榨机, 磨坊, 制造厂
millimetre|毫米
mind|思想, 愿望, 智力, 记忆, 心理…
mineral|矿物, 无机物, 苏打水
mingle|(使)混合
miniature|缩图, 小画像
minimise|使减到最少/最小, 使降到最低限度,…
minimum|最小的, 最低的
ministry|部, 内阁, 服务
minor|未成年人, 副修科目
miracle|奇迹, 奇事
mischief|损害, 伤害, 灾祸, 恶作剧, 淘气
miserable|悲惨的
misery|痛苦, 悲惨, 不幸, 穷困
misfortune|不幸, 灾祸, 坏运气
mislead|误导
missile|发射物, 导弹, 飞弹, 火箭
missing|不见的, 缺少的
mission|任务, 代表团, 使命, 传教团
missionary|传教士, 负有任务者, 工作人员
mistake|错误, 误会
mistress|主妇, 女主人, 情妇
misunderstand|误解, 误会
moan|呻吟, 悲叹
mobile|移动的, 易变的, 机动的
mobilise|vt. 动员, 松动, 使活动, 调…
mock|嘲笑, 戏弄, 模仿
mode|模态, 调式, 样式, 文体, 状态…
moderate|适度的, 稳健的, 中等的, 节制的
modernisation|<主英>=modernization
modify|修正, 变更, 修饰, 缓和, 减轻
module|组件, 模数
moist|潮湿的, 多雨的, 感伤的, 含泪的
moisture|湿气, 水分, 降雨
mold|模子, 模型, 霉
molecule|分子, 些微
momentum|动力, 动量
monarch|帝王, 统治者, 元首
monetary|货币的, 金钱的
monopoly|垄断, 专卖权, 独占事业
monotonous|单调的, 无变化的
monster|怪物, 恶人, 巨物
monument|纪念碑, 纪念物, 石碑
mood|心情, 气氛, 生气, 基调
moral|道德, 品行, 寓意
morality|道德, 教训, 品行
more|更多
moreover|而且, 此外
mortal|生物, 人类
mortgage|抵押, 约束性义务, 抵押借款
mosaic|马赛克, 镶嵌细工, 镶嵌工艺
mosquito|蚊子
most|最多, 最大
mostly|大概, 大部分, 主要
motel|汽车旅馆
motion|移动, 手势, 动作, 意向, 请求…
motivate|给与动机, 刺激, 提高...的学习…
motive|动机, 目的, 主题, 基调
mount|乘骑用马, 框, 衬纸, 山
mourn|哀悼, 忧伤, 服丧
movement|运动, 动作, 运转, 移动, 倾向…
movie|电影
multiple|倍数, 并联
multiply|繁殖, 乘, 增加
multitude|多数, 群众
municipal|市政的, 自治区的, 内政的
murmur|低语, 低声的怨言
muscle|肌肉, 臂力
muscular|强壮的, 肌肉发达的, 有力的
