robust|健康的, 强健的, 要用力气的, 坚…
romance|冒险故事, 浪漫史, 传奇文学
romantic|浪漫的, 风流的, 传奇性的, 夸大…
rotate|辐状的
rotten|腐烂的, 恶臭的, 堕落的, 风化的…
roundabout|迂回的, 委婉的
rouse|觉醒, 奋起, 干杯
route|路径, 途径, 路线
routine|常规, 日常工作, 惯例, 例行公事
royal|王室, 皇族
royalty|皇室, 王族成员, 王权, 特权阶层…
rule|规则, 统治, 控制, 支配, 规律…
rumor|谣言, 传闻
rural|乡下的, 田园的, 乡村风味的
rust|锈, 生锈, 衰退
ruthless|无情的, 残忍的, 毫不留情的, 彻底的
sack|麻布袋, 洗劫
sacred|神圣的, 献给上帝的, 庄严的, 祭祀的
saddle|鞍, 马鞍, 车座, 鞍状物
safeguard|保卫, 保护措施, 防护设施
safety|安全, 保险, 平安, 保安设备
Saint|圣徒, 圣人
sake|目的, 缘故, 理由
salesman|售货员, 推销员
salient|显著的, 突出的, 跳跃的
salute|行礼, 致意, 问候, 放礼炮
salvation|拯救, 救助, 救世
sample|样品, 范例, 样本
sanction|核准, 制裁, 处罚, 约束力
sane|神智健全的, 稳健的, 没病的, 合理的
sarcastic|讽刺的, 讥讽的
satire|讽刺文学, 讽刺
satisfactory|满意的, 赎罪的
saturate|使渗透, 浸透, 使充满, 使饱和
sauce|酱油, 调味汁, 酱
saucer|茶碟, 茶托
savage|未开化的, 野蛮的, 无礼的, 残酷…
saving|存款, 挽救, 节约
scale|刻度, 衡量, 比例, 比例尺, 数…
scan|审视, 浏览, 扫描, 细查
scandal|丑闻, 中伤, 耻辱, 反感, 流言蜚语
scar|疤痕, 伤痕, 悬崖
scarce|难得的, 稀罕的, 缺乏的
scarcely|简直不, 一定不, 仅仅
scare|惊吓, 恐慌
scarf|围巾, 头巾, 领带, 领巾, 嵌接
scatter|消散, 分散, 散播, 散射, 散布…
scenario|剧本提纲, 情节, 剧本, 方案, 事态
scenery|风景, 景色, 舞台布景
scent|气味, 香味, 香水, 踪迹, 痕迹…
sceptical|怀疑论的, 怀疑的
schedule|时间表, 一览表, 计划表, 议事日程
scheme|方案, 计划, 组合, 系统, 图解…
scholar|学者, 奖学金获得者, 有文化者, …
scholarship|学问, 学术成就, 奖学金
science|科学, 学科, 学问, 自然科学
scissors|剪刀
scope|范围, 机会, 广度, 眼界, 观察…
scorn|轻蔑, 藐视, 嘲笑, 被嘲弄的人
scout|守候, 侦察, 搜索, 侦察员, 侦察机
scramble|攀缘, 爬行, 抢夺, 混乱, 紧急起飞
scrap|碎片, 残余物, 些微, 片断, 铁…
scrape|刮, 擦, 挖, 擦痕, 刮擦声, 困境
