tolerate|宽容, 容许, 有耐力
toll|通行费, 代价, 钟声
tomb|坟墓, 死亡
tone|音调, 音质, 语调, 语气, 色调…
torch|火把, 启发之物
torment|使人痛苦的东西, 折磨者, 苦痛
torrent|奔流, 倾盆大雨, 倾注, 迸发
torture|拷问, 苦闷
toss|投掷, 抛, 摇摆, 震荡, 掷钱币决定
touch|触觉, 碰, 触, 机灵, 轻触, …
tough|恶棍
toxic|有毒的, 中毒的
trace|痕迹, 踪迹, 微量, 迹线, 缰绳
track|轨迹, 足迹, 径迹, 小道, 轨道…
trademark|商标
tradition|传说, 传统, 交付
tragedy|悲剧, 惨案, 悲剧作品
tragic|悲惨的, 悲剧的
trail|踪迹, 痕迹, 一串, 尾部, 小径…
training|训练, 培养
trait|特征, 特性, 一笔, 少许
tram|电车轨道, 煤车, 纬纱, 纬丝
transaction|交易, 办理, 学报, 和解协议
transcend|超越, 胜过
transfer|迁移, 移动, 传递, 转让, 转移…
transform|使转换, 改变, 改造, 使...变形
transient|瞬, 短期居留者, 过境鸟, 瞬变现象
transistor|晶体管
transit|经过, 通行, 运输, 运输线, 转变
transition|转变, 转换, 变迁, 过渡时期, …
transmission|传输, 传送, 变速器
transmit|传输, 传染, 传达, 遗传, 发射…
transparent|透明的, 显然的, 清晰的
transplant|使移居, 移植, 使迁移
trash|垃圾, 废物
tray|托盘, 公文盘, 满盘, 发射箱
treaty|条约, 谈判
tremendous|巨大的, 非常的, 可怕的
trench|渠, 沟渠, 战壕
trend|趋势, 倾向, 走向
triangle|三角形, 三个一组, 三角关系
tribute|贡物, 礼物, 颂辞
trifle|琐事, 少量
trigger|触发器, 扳机
trim|整齐, 情形, 修剪
triple|三倍数, 三个一组
triumph|凯旋, 胜利, 欢欣
trivial|琐碎的, 不重要的, 轻微的, 平常的
trolley|电车, 手推车, 台车
tropic|回归线
tropical|热带的, 热情的
trouble|烦恼, 麻烦, 困难, 动乱, 故障
trumpet|喇叭, 小号, 喇叭声
truth|事实, 实情
tuck|缝褶, 活力, 鼓声, 船尾突出部,…
tuition|学费, 讲授
tumble|跌倒, 摔跤, 翻斤斗
tumor|肿大, 肿块, 瘤, 赘生物, 肿瘤
tunnel|隧道, 地下道
turbine|涡轮机
turbulent|狂暴的, 骚乱的, 紊乱的
