investment|投资
invisible|看不见的, 无形的
invoke|祈求, 恳求, 实行, 援引, 引起
involve|包括, 使陷于, 潜心于, 包围
inward|内心的, 向内的, 本来的
irony|反语, 讽刺, 具有讽刺意味的事
irrespective|不顾的, 无关的, 没关系的
irrigate|灌溉, 冲洗伤口, 使清新
irritate|激怒, 使发怒, 使兴奋, 使发炎
isle|小岛, 群岛
isolate|使隔离, 使孤立, 使绝缘
issue|发行, 问题, 后果, 流出, 出口…
item|项目, 条款, 一则, 项
itself|它本身, 它自己
ivory|象牙, 乳白色
jargon|专门术语, 行话, 梦话, 土语
jealous|嫉妒的, 羡慕的, 留心的, 戒备的
join|参加, 结合, 加入
joint|连接处, 接合, 关节
jolly|愉快的, 高兴的, 宜人的
journal|日记, 杂志, 日报
journalist|新闻记者, 从事新闻杂志业的人
judgment|裁判, 宣告, 判决书
judicial|法庭的, 公正的, 审判上的, 司法的
juice|汁, 活力, 体液
jump|跳跃, 跳动, 暴涨, 惊跳
junction|连接, 会合处, 交叉点
junk|垃圾, 乌七八糟的东西, 舢板
jurisdiction|司法权, 审判权, 管辖权
jury|陪审团, 评判委员会
justify|替...辩护, 证明
juvenile|少年, 少年读物
keen|锋利的, 敏锐的, 强烈的, 敏捷的…
kidnap|绑架, 诱拐, 拐骗
kidney|肾, 个性
kilogram|千克, 公斤
kilometre|公里, 千米
kindergarten|幼稚园
kindness|仁慈, 亲切, 和蔼
king|国王, 君主
kingdom|王国, 领域
kiss|吻
kneel|跪下
knit|编织, 结合
knob|把手, 瘤, 旋钮, 球形突出物
knot|结, 群, 难题
knowledge|知识, 学问, 认识, 知道
label|标签, 称号, 商标, 标志
laboratory|实验室, 研究室, 化工厂
lace|饰带, 花边, 缎带, 鞋带
lake|湖, 池, 色淀
lamb|小羊, 羔羊
lame|跛足的, 僵痛的, 不完全的, 金属…
landscape|风景, 山水, 风景画
lane|小路, 巷, 弄, 单行道
language|语言, 文字, 措辞
lantern|灯笼, 提灯, 航标灯
lapse|过失, 流逝, 失效
laptop|膝上型的
largely|大量地, 很多地, 大半地
laser|激光
lash|鞭子, 鞭打, 睫毛, 责骂, 讽刺
last|最后的, 末尾的, 最近的
late|迟的, 晚的, 已故的
lately|近来, 最近
latent|潜伏性的, 隐藏的
lateral|侧部, 支线, 边音
Latin|拉丁人, 拉丁语
latitude|纬度, 范围
laugh|笑, 笑声
launch|下水, 汽艇, 发射
lawn|草地, 草坪, 上等细麻布
lawsuit|诉讼
layer|层, 产卵鸡, 放置者
layman|俗人, 门外汉, 凡人
layoff|临时解雇, 操作停止, 活动停止期间
layout|布局, 陈列, 规划图, 页面布局,…
lazy|懒惰的, 怠惰的, 缓慢的
leadership|领导能力, 领导阶层
leading|领导, 指挥, 神示, 铅板
leaflet|小叶, 传单
leak|漏洞, 漏处, 漏出, 泄漏
lean|瘦肉, 倾斜, 倾斜度
leap|跳跃, 剧增, 急变, 被越过之物
learn|学习
lease|租约, 租期, 租
least|最少, 最小, 最小限度
legacy|祖先传下来之物, 遗赠物
legal|法律的, 法定的, 合法的
legend|传说, 传奇文学, 图例
legislation|立法, 法律
legitimate|合法的, 正当的, 婚生的
leisure|空闲, 闲暇, 悠闲
lemon|柠檬, 柠檬树, 柠檬色
lend|借, 贷款给, 增添, 提供, 出租
lens|透镜, 镜头, 镜片, 晶状体
less|较少, 较小
lesson|课, 课业, 教训
lest|以免, 唯恐, 免得
letter|信, 字母, 证书, 字面意义, 铅…
lever|杠杆, 似杠杆之工具
levy|税款, 所征的人数, 征收
liability|责任, 债务, 倾向
liable|有义务的, 应负责的, 有...倾向的
liberal|自由主义者
liberty|自由, 特权, 许可, 冒失
library|图书馆, 藏书, 库
license|执照, 许可证, 特许
lick|舔, 少许, 打
likelihood|可能, 可能性
likely|有可能的, 合适的, 前途有望的
likewise|同样地, 也
limb|四肢, 枝干, 翼, 边缘
limit|界限, 边界, 限度, 极限, 限制
limitation|限制, 缺陷, 限额
limited|有限制的, 有限的, 有限责任的
limp|跛行
line|列, 线, 绳, 电线, 线路, 路…
linear|线的, 直线的, 线状的
linen|亚麻布, 亚麻线, 亚麻制品
liner|班机, 划线者, 定期船, 衬里
linger|逗留, 消磨, 徘徊
linguistic|语言的, 语言学的
link|环, 连结物, 链接, 火把
lion|狮子, 狮子(星)座, 国际狮子会会员
liquid|液体, 流体, 流音
liquor|酒, 液体, 汁, 溶液
list|目录, 名单, 明细表, 布条, 条…
literacy|读写能力, 识字, 精通文学
literally|逐字地, 按照字面上地, 不夸张地
literary|文学的, 文艺的, 精通文学的
literature|文学, 文艺, 著作
litre|升, 公升
litter|垃圾, 杂乱, 轿, 担架
little|一点点, 少许, 一会儿, 短时间
lively|活泼的, 鲜明的, 生动的
liver|肝脏, 生活者, 居民
living|生活, 生计, 生存
living room|客厅, 起居室
